Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,066037,1939,04,22.6,Y
IDCJAC0002,066037,1939,05,20.6,Y
IDCJAC0002,066037,1939,06,17.5,Y
IDCJAC0002,066037,1939,07,15.3,Y
IDCJAC0002,066037,1939,08,18.5,Y
IDCJAC0002,066037,1939,09,20.0,Y
IDCJAC0002,066037,1939,10,20.6,Y
IDCJAC0002,066037,1939,11,24.0,Y
IDCJAC0002,066037,1939,12,26.6,Y
IDCJAC0002,066037,1940,01,27.7,Y
IDCJAC0002,066037,1940,02,27.3,Y
IDCJAC0002,066037,1940,03,28.4,Y
IDCJAC0002,066037,1940,04,22.2,Y
IDCJAC0002,066037,1940,05,18.8,Y
IDCJAC0002,066037,1940,06,18.0,Y
IDCJAC0002,066037,1940,07,17.1,Y
IDCJAC0002,066037,1940,08,18.2,Y
IDCJAC0002,066037,1940,09,21.1,Y
IDCJAC0002,066037,1940,10,23.3,Y
IDCJAC0002,066037,1940,11,23.6,Y
IDCJAC0002,066037,1940,12,26.1,Y
IDCJAC0002,066037,1941,01,24.3,Y
IDCJAC0002,066037,1941,02,25.5,Y
IDCJAC0002,066037,1941,03,23.5,Y
IDCJAC0002,066037,1941,04,22.5,Y
IDCJAC0002,066037,1941,05,19.6,Y
IDCJAC0002,066037,1941,06,16.9,Y
IDCJAC0002,066037,1941,07,17.2,Y
IDCJAC0002,066037,1941,08,17.1,Y
IDCJAC0002,066037,1941,09,20.7,Y
IDCJAC0002,066037,1941,10,20.9,Y
IDCJAC0002,066037,1941,11,24.3,Y
IDCJAC0002,066037,1941,12,24.5,Y
IDCJAC0002,066037,1942,01,26.8,Y
IDCJAC0002,066037,1942,02,24.5,Y
IDCJAC0002,066037,1942,03,24.4,Y
IDCJAC0002,066037,1942,04,23.0,Y
IDCJAC0002,066037,1942,05,21.4,Y
IDCJAC0002,066037,1942,06,18.4,Y
IDCJAC0002,066037,1942,07,16.8,Y
IDCJAC0002,066037,1942,08,19.4,Y
IDCJAC0002,066037,1942,09,21.2,Y
IDCJAC0002,066037,1942,10,20.8,Y
IDCJAC0002,066037,1942,11,23.7,Y
IDCJAC0002,066037,1942,12,24.9,Y
IDCJAC0002,066037,1943,01,25.8,Y
IDCJAC0002,066037,1943,02,27.8,Y
IDCJAC0002,066037,1943,03,25.0,Y
IDCJAC0002,066037,1943,04,22.6,Y
IDCJAC0002,066037,1943,05,19.0,Y
IDCJAC0002,066037,1943,06,17.0,Y
IDCJAC0002,066037,1943,07,16.8,Y
IDCJAC0002,066037,1943,08,15.3,Y
IDCJAC0002,066037,1943,09,18.4,Y
IDCJAC0002,066037,1943,10,20.5,Y
IDCJAC0002,066037,1943,11,20.7,Y
IDCJAC0002,066037,1943,12,22.7,Y
IDCJAC0002,066037,1944,01,26.9,Y
IDCJAC0002,066037,1944,02,25.8,Y
IDCJAC0002,066037,1944,03,24.2,Y
IDCJAC0002,066037,1944,04,21.9,Y
IDCJAC0002,066037,1944,05,18.8,Y
IDCJAC0002,066037,1944,06,16.7,Y
IDCJAC0002,066037,1944,07,16.7,Y
IDCJAC0002,066037,1944,08,16.3,Y
IDCJAC0002,066037,1944,09,20.1,Y
IDCJAC0002,066037,1944,10,23.8,Y
IDCJAC0002,066037,1944,11,25.9,Y
IDCJAC0002,066037,1944,12,27.1,Y
IDCJAC0002,066037,1945,01,24.6,Y
IDCJAC0002,066037,1945,02,24.9,Y
IDCJAC0002,066037,1945,03,24.4,Y
IDCJAC0002,066037,1945,04,22.1,Y
IDCJAC0002,066037,1945,05,19.7,Y
IDCJAC0002,066037,1945,06,17.9,Y
IDCJAC0002,066037,1945,07,16.1,Y
IDCJAC0002,066037,1945,08,19.1,Y
IDCJAC0002,066037,1945,09,19.7,Y
IDCJAC0002,066037,1945,10,21.7,Y
IDCJAC0002,066037,1945,11,25.5,Y
IDCJAC0002,066037,1945,12,25.0,Y
IDCJAC0002,066037,1946,01,28.0,Y
IDCJAC0002,066037,1946,02,26.7,Y
IDCJAC0002,066037,1946,03,24.0,Y
IDCJAC0002,066037,1946,04,20.8,Y
IDCJAC0002,066037,1946,05,20.1,Y
IDCJAC0002,066037,1946,06,16.7,Y
IDCJAC0002,066037,1946,07,18.7,Y
IDCJAC0002,066037,1946,08,19.6,Y
IDCJAC0002,066037,1946,09,19.7,Y
IDCJAC0002,066037,1946,10,20.7,Y
IDCJAC0002,066037,1946,11,24.0,Y
IDCJAC0002,066037,1946,12,25.9,Y
IDCJAC0002,066037,1947,01,25.1,Y
IDCJAC0002,066037,1947,02,25.6,Y
