month,food_retailing,household_goods_retailing,clothing_footwear_and_personal_accessory_retailing,department_stores,other_retailing,cafes_restaurants_and_takeaway_food_services,total
1982-04-01,1162.6,592.3,359.9,460.1,479.1,342.4,3396.4
1982-05-01,1150.9,629.6,386.6,502.6,486.1,342.1,3497.9
1982-06-01,1160.0,607.4,350.5,443.8,467.5,328.7,3357.8
1982-07-01,1206.4,632.4,359.3,459.1,491.1,338.5,3486.8
1982-08-01,1152.5,622.6,325.2,438.4,485.7,331.5,3355.9
1982-09-01,1189.1,622.0,346.3,465.1,489.9,341.9,3454.3
1982-10-01,1247.4,637.8,354.2,452.7,500.9,358.4,3551.5
1982-11-01,1280.7,717.2,403.9,522.9,531.1,374.7,3830.5
1982-12-01,1483.7,1077.0,571.4,889.3,725.2,433.1,5179.7
1983-01-01,1202.8,615.9,326.5,379.2,491.4,368.6,3384.5
1983-02-01,1224.2,621.7,298.7,378.0,499.1,348.1,3369.8
1983-03-01,1332.4,719.1,377.2,472.1,538.7,365.8,3805.3
1983-04-01,1270.9,633.4,412.5,503.4,493.8,351.1,3665.1
1983-05-01,1251.7,697.9,418.5,510.6,520.8,360.5,3760.0
1983-06-01,1269.3,661.8,383.0,462.4,507.3,347.1,3630.8
1983-07-01,1292.8,656.9,384.0,468.3,519.9,364.5,3686.5
1983-08-01,1337.0,711.0,379.9,458.2,554.2,376.0,3816.3
1983-09-01,1322.8,690.3,402.0,482.7,547.9,377.6,3823.4
1983-10-01,1355.4,714.6,395.8,485.3,553.5,374.1,3878.7
1983-11-01,1410.9,815.5,431.7,568.7,594.1,390.6,4211.5
1983-12-01,1642.3,1197.8,626.0,963.7,795.5,459.0,5684.3
1984-01-01,1314.5,684.2,357.6,414.7,538.8,388.8,3698.5
1984-02-01,1335.4,698.5,346.0,414.5,561.6,377.1,3733.2
1984-03-01,1388.8,746.0,419.0,484.7,574.6,397.8,4010.9
1984-04-01,1346.5,634.7,406.9,487.3,529.7,383.3,3788.4
1984-05-01,1404.3,755.0,480.9,597.9,590.1,414.0,4242.3
1984-06-01,1367.6,677.2,403.1,500.4,542.2,381.5,3872.1
1984-07-01,1361.6,708.7,411.9,543.4,559.4,393.0,3978.0
1984-08-01,1436.7,740.9,414.5,503.4,591.6,409.0,4096.1
1984-09-01,1355.6,679.0,392.1,522.8,557.2,394.7,3901.4
1984-10-01,1462.7,769.3,446.3,556.6,614.5,424.5,4274.0
1984-11-01,1501.4,859.3,484.8,623.2,651.8,436.5,4557.1
1984-12-01,1686.6,1174.6,638.8,1039.4,820.0,488.1,5847.5
1985-01-01,1484.7,703.0,401.6,516.3,598.9,425.6,4130.0
1985-02-01,1397.0,669.4,368.2,452.5,577.9,391.8,3856.8
1985-03-01,1495.0,742.2,418.3,525.8,599.6,416.1,4196.9
1985-04-01,1474.9,721.6,450.3,587.7,574.6,419.8,4228.9
1985-05-01,1556.8,855.8,540.1,700.3,639.9,446.2,4739.1
1985-06-01,1453.7,742.3,452.3,561.8,573.5,406.8,4190.3
1985-07-01,1558.6,799.9,476.4,602.8,628.6,448.5,4514.6
1985-08-01,1585.7,815.5,467.0,582.5,649.6,466.0,4566.3
1985-09-01,1518.0,776.8,452.6,563.1,614.7,455.2,4380.3
1985-10-01,1655.7,881.3,522.9,637.1,667.0,493.6,4857.7
1985-11-01,1667.3,973.2,557.3,697.1,704.6,505.6,5105.0
1985-12-01,1867.3,1351.7,749.7,1187.5,908.1,563.9,6628.2
1986-01-01,1674.4,812.6,447.0,570.5,666.1,504.3,4674.9
1986-02-01,1558.5,763.6,399.4,478.2,641.5,452.9,4294.1
1986-03-01,1676.6,768.0,419.6,547.4,636.2,480.3,4528.0
1986-04-01,1643.7,827.0,504.5,594.3,662.4,497.2,4729.0
1986-05-01,1746.5,935.1,588.2,751.6,709.8,530.8,5261.9
1986-06-01,1638.5,833.6,485.7,553.4,641.8,484.8,4637.8
1986-07-01,1721.8,878.2,507.2,663.2,692.9,526.3,4989.5
1986-08-01,1720.9,898.1,484.5,581.1,700.8,538.4,4923.8
1986-09-01,1705.7,862.3,496.9,661.9,698.1,537.4,4962.2
1986-10-01,1816.4,950.6,545.5,665.6,756.7,570.4,5305.1
1986-11-01,1774.7,968.2,545.8,700.9,750.1,563.8,5303.5
1986-12-01,2073.6,1414.0,804.4,1367.9,1017.0,663.2,7340.0
1987-01-01,1830.7,861.1,461.1,613.9,726.9,571.6,5065.3
1987-02-01,1710.1,812.5,417.6,513.2,701.3,525.1,4679.8
1987-03-01,1791.0,862.3,479.3,599.9,716.8,543.6,4993.0
1987-04-01,1824.4,846.8,528.6,674.1,733.9,558.1,5166.0
1987-05-01,1823.3,933.6,585.4,714.0,764.8,565.1,5386.3
1987-06-01,1761.9,886.2,529.5,670.5,728.4,542.3,5118.9
1987-07-01,1856.9,958.9,579.7,720.9,779.7,598.6,5494.6
1987-08-01,1821.0,938.2,518.6,601.6,773.7,583.7,5236.7
1987-09-01,1830.0,953.0,563.1,672.3,783.9,592.7,5395.1
1987-10-01,1942.4,1058.8,596.6,709.1,814.1,623.3,5744.4
1987-11-01,1885.9,1084.6,587.2,743.2,822.0,621.9,5745.0
1987-12-01,2272.4,1576.1,864.5,1460.1,1109.6,739.8,8022.4
1988-01-01,1885.1,938.9,487.0,631.0,757.4,605.0,5304.4
1988-02-01,1845.2,968.3,502.6,551.1,773.5,586.1,5226.8
1988-03-01,2021.6,1035.6,551.0,678.1,818.0,625.3,5729.7
1988-04-01,1937.5,945.3,563.1,715.7,753.7,611.9,5527.3
1988-05-01,1907.0,1074.9,619.6,740.8,814.9,630.5,5787.8
1988-06-01,1925.7,1053.6,601.6,722.0,800.8,635.5,5739.2
1988-07-01,1932.6,1045.1,592.7,683.5,810.1,658.7,5722.7
1988-08-01,1977.6,1073.4,578.0,650.9,850.9,656.4,5787.3
1988-09-01,2035.2,1040.7,641.7,723.3,845.5,660.0,5946.3
1988-10-01,2050.7,1092.9,650.2,729.6,872.1,670.2,6065.8
1988-11-01,2109.5,1210.9,664.4,870.3,945.0,670.8,6470.9
